id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong;lat_decimal;lon_decimal
2018-03239;;;;;;;11.0;416873.67;6290332.28;32611.0;;;56.74955027012726;-118.35931545731908
2018-03240;;;;;;;11.0;419262.38;6296016.44;32611.0;;;56.801021738526266;-118.32206017011329
2018-03241;;;;;;;11.0;413267.83;6290484.83;32611.0;;;56.75026375168736;-118.41831120206305
2018-03242;;;;;;;;;;;;;;
2018-05052;54.0;35.0;34.0;-111.0;2.0;25.0;;;;;;;54.59277777777778;-110.95972222222223
2018-03243;;;;;;;;;;;;;;
2022-15226;;;;;;;;;;;;;;
2018-02771;;;;;;;11.0;414079.0;6291233.0;32611.0;;;56.75713331409836;-118.40530179738677
2018-03244;;;;;;;11.0;416873.67;6290332.28;32611.0;;;56.74955027012726;-118.35931545731908
2018-03245;;;;;;;11.0;417115.33;6290296.0;32611.0;;;56.74926743488865;-118.35535325506098
2021-35193;;;;;;;;;;;;;;
2021-35281;;;;;;;;;;;;;;
2021-35377;;;;;;;;;;;;;;
2022-15074;;;;;;;;;;;;;;
2022-15259;;;;;;;;;;;;;;
2022-15398;;;;;;;;;;;;;;
2022-15413;;;;;;;;;;;;;;
2018-00408;56.0;31.0;44.9;-111.0;18.0;44.6;;;;;;;56.52913888888889;-110.68761111111111
2018-00481;56.0;29.0;35.0;-111.0;13.0;52.8;;;;;;;56.49305555555556;-110.76866666666666
2018-02306;53.0;57.0;25.38;-114.0;7.0;27.42;11.0;688669.8139;5982572.7665;32611.0;;;53.95704999755917;-114.12430999969686
2018-03122;;;;;;;11.0;415284.0;6290446.0;32611.0;;;56.75028558640269;-118.38533945222349
2018-03246;;;;;;;11.0;416122.42;6298388.33;32611.0;;;56.82176891654106;-118.37423934443979
2018-03247;;;;;;;11.0;416820.5;6298734.43;32611.0;;;56.82500267116391;-118.36291865999746
2018-03248;;;;;;;11.0;419184.58;6290419.33;32611.0;;;56.750738250250045;-118.32156552928201
2018-03249;;;;;;;11.0;414820.93;6290619.71;32611.0;;;56.751761367881834;-118.3929671379615
