id;deglat;minlat;seclat;deglong;minlong;seclong;utmzone;utmeast;utmnorth;utmsrid;decimlat;decimlong
2022-15001;;;;;;;;;;;;
2022-15354;;;;;;;;;;;;
2022-15384;;;;;;;;;;;;
2022-15397;;;;;;;;;;;;
2023-02013;;;;;;;;;;;;
2023-02289;;;;;;;;;;;;
2021-35330;;;;;;;;;;;;
2018-03209;;;;;;;11;418395.33;6299752.5;32611;;
2018-02379;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02402;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03210;;;;;;;11;418366.83;6290443.42;32611;;
2018-03211;;;;;;;11;416688.83;6295087.17;32611;;
2018-01564;;;;;;;;;;;;
2018-01567;;;;;;;;;;;;
2022-15030;;;;;;;;;;;;
2018-02186;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02373;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02374;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03212;;;;;;;11;416820.5;6298734.43;32611;;
2018-03213;;;;;;;11;413267.83;6290484.83;32611;;
2018-03214;;;;;;;11;413267.83;6290484.83;32611;;
2018-05050;55;29;12;-113;26;47;;;;;;
2021-35015;55;6;37.88;118;45;37.3;;;;;;
2018-01566;;;;;;;;;;;;
2018-01535;;;;;;;;;;;;
2018-01538;;;;;;;;;;;;
2018-01540;;;;;;;;;;;;
2018-01542;;;;;;;;;;;;
2018-01547;;;;;;;;;;;;
2018-01553;;;;;;;;;;;;
2018-02396;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02397;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02398;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03215;;;;;;;11;416873.67;6290332.28;32611;;
2018-03216;;;;;;;11;418948.5;6296710.42;32611;;
2018-03217;;;;;;;11;419262.38;6296016.44;32611;;
2018-03218;;;;;;;11;414752.37;6290926.47;32611;;
2018-03219;;;;;;;11;415640.37;6291262.47;32611;;
2018-03220;;;;;;;11;413673.8;6290467.53;32611;;
2018-03221;;;;;;;11;418408.28;6290764.97;32611;;
2018-03222;;;;;;;;;;;;
2018-01569;;;;;;;;;;;;
2018-03223;;;;;;;11;416122.42;6298388.33;32611;;
2018-03224;;;;;;;11;413267.83;6290484.83;32611;;
2021-35467;;;;;;;;;;;;
2018-00885;56;38;58.4;-111;18;50.7;;;;;;
2018-00927;56;23;54;-111;35;3.7;;;;;;
2018-00965;56;26;9.6;-111;12;22.3;;;;;;
2018-01556;;;;;;;;;;;;
2018-01559;;;;;;;;;;;;
2018-01560;;;;;;;;;;;;
2018-01561;;;;;;;;;;;;
2018-01572;;;;;;;;;;;;
2018-01575;;;;;;;;;;;;
2018-01576;;;;;;;;;;;;
2018-03225;;;;;;;11;419186.75;6290137.25;32611;;
2018-03226;;;;;;;11;417115.33;6290296;32611;;
2018-03227;;;;;;;11;414405.56;6290489.06;32611;;
2018-03228;;;;;;;11;417292.87;6294561.68;32611;;
2018-04612;54;34;59;-110;28;15;;;;;;
2018-05049;55;6;34.79;-118;45;39.26;;;;;;
2018-05083;54;38;21;-111;18;9;;;;;;
2021-35553;;;;;;;;;;;;
2022-15135;;;;;;;;;;;;
2022-15391;;;;;;;;;;;;
2018-01532;;;;;;;;;;;;
2018-01557;;;;;;;;;;;;
2018-01558;;;;;;;;;;;;
2018-01562;;;;;;;;;;;;
2018-01565;;;;;;;;;;;;
2018-01568;;;;;;;;;;;;
2018-01573;;;;;;;;;;;;
2018-01571;;;;;;;;;;;;
2018-01577;;;;;;;;;;;;
2018-01578;;;;;;;;;;;;
2018-01579;;;;;;;;;;;;
2018-01583;;;;;;;;;;;;
2018-03229;;;;;;;11;416873.67;6290332.28;32611;;
2018-03230;;;;;;;11;414765.07;6290081.5;32611;;
2018-04881;;;;;;;11;417475;6295634;32611;;
2018-01534;;;;;;;;;;;;
2018-01537;;;;;;;;;;;;
2018-01539;;;;;;;;;;;;
2018-01541;;;;;;;;;;;;
2018-03231;;;;;;;11;416820.5;6298734.43;32611;;
2018-03232;;;;;;;11;417126.83;6294565.25;32611;;
2018-03233;;;;;;;11;415522.69;6290813.97;32611;;
2018-03234;;;;;;;11;418371.03;6290553.61;32611;;
2018-05051;55;29;11;-113;26;31;;;;;;
2022-15353;;;;;;;;;;;;
2018-01544;;;;;;;;;;;;
2023-02422;;;;;;;;;;;;
2018-03235;;;;;;;;;;;;
2018-04593;54;34;59;-110;28;15;;;;;;
2018-05501;;;;;;;;;;;;
2018-01441;;;;;;;;;;;;
2018-02290;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-02322;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03236;;;;;;;11;415734;6298457.73;32611;;
2018-03237;;;;;;;11;419167.33;6296457.75;32611;;
2018-03238;;;;;;;11;414644.67;6293057.83;32611;;
2018-03239;;;;;;;11;416873.67;6290332.28;32611;;
2018-03240;;;;;;;11;419262.38;6296016.44;32611;;
2018-03241;;;;;;;11;413267.83;6290484.83;32611;;
2018-03242;;;;;;;;;;;;
2018-05052;54;35;34;-111;2;25;;;;;;
2018-03243;;;;;;;;;;;;
2022-15226;;;;;;;;;;;;
2018-02771;;;;;;;11;414079;6291233;32611;;
2018-03244;;;;;;;11;416873.67;6290332.28;32611;;
2018-03245;;;;;;;11;417115.33;6290296;32611;;
2021-35193;;;;;;;;;;;;
2021-35281;;;;;;;;;;;;
2021-35377;;;;;;;;;;;;
2022-15074;;;;;;;;;;;;
2022-15259;;;;;;;;;;;;
2022-15398;;;;;;;;;;;;
2022-15413;;;;;;;;;;;;
2018-00408;56;31;44.9;-111;18;44.6;;;;;;
2018-00481;56;29;35;-111;13;52.8;;;;;;
2018-02306;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03122;;;;;;;11;415284;6290446;32611;;
2018-03246;;;;;;;11;416122.42;6298388.33;32611;;
2018-03247;;;;;;;11;416820.5;6298734.43;32611;;
2018-03248;;;;;;;11;419184.58;6290419.33;32611;;
2018-03249;;;;;;;11;414820.93;6290619.71;32611;;
2018-03250;;;;;;;;;;;;
2018-03251;;;;;;;11;417535.68;6299499.39;32611;;
2018-04888;54;38;35;-111;17;49;;;;;;
2018-05338;;;;;;;;;;;;
2018-05488;;;;;;;;;;;;
2018-05494;;;;;;;;;;;;
2018-05504;;;;;;;;;;;;
2022-15188;;;;;;;;;;;;
2022-15245;;;;;;;;;;;;
2023-02116;;;;;;;;;;;;
2018-05493;;;;;;;;;;;;
2018-01462;;;;;;;;;;;;
2018-01533;;;;;;;;;;;;
2018-01536;;;;;;;;;;;;
2018-01563;;;;;;;;;;;;
2018-01574;;;;;;;;;;;;
2018-02304;53;57;25.38;-114;7;27.42;11;688669.8139;5982572.7665;32611;;
2018-03252;;;;;;;11;417567.61;6294428;32611;;
2018-03253;;;;;;;11;416656.92;6290019.08;32611;;
2018-03254;;;;;;;11;414658.67;6293265.03;32611;;
2018-01465;;;;;;;;;;;;
